Date Posted,Transaction Reference #,Attorney Docket #, Status,Transaction ID,Type,Total Payment (+) / Refund (-),Customer Name
04/03/2017,62438208,D0755.70001US00,Processed,040317INTEFSW10385800,Payment,$260.00,
04/03/2017,15477206,B0801.70349US05,Processed,040317INTEFSW11483600,Payment,"$1600.00",
04/03/2017,14965637,N0484.71173US00,Processed,040317INTEFSW11591400,Payment,$180.00,
04/03/2017,62480626,U1195.70091US00,Processed,040317INTEFSW12344200,Payment,$130.00,
04/03/2017,13232291,X0019.70021US00,Processed,040317INTEFSW12533500,Payment,$700.00,
04/03/2017,15388041,F0725.70022US01,Processed,040317INTEFSW13220400,Payment,$900.00,
04/03/2017,15516165,T0709.70073US00,Processed,040317INTEFSW13514300,Payment,$740.00,
04/03/2017,15516172,T0709.70076US00,Processed,040317INTEFSW13592300,Payment,$740.00,
04/03/2017,29599188,A1174.70005US00,Processed,040317INTEFSW14165100,Payment,$760.00,
04/03/2017,PCT/US17/25349,B1348.70029,Processed,040317INTEFSW14245400,Payment,"$2559.00",
04/03/2017,29599198,A1174.70006US00,Processed,040317INTEFSW14330600,Payment,$760.00,
04/03/2017,13575999,R0606.70001US00,Processed,040317INTEFSW14351100,Payment,$700.00,
04/03/2017,15412123,T0679.70014US02,Processed,040317INTEFSW14425900,Payment,$800.00,
04/03/2017,14373949,S1459.71792US00,Processed,040317INTEFSW14490300,Payment,"$1400.00",
04/03/2017,14425926,A1015.70009US00,Processed,040317INTEFSW15134702,Payment,$200.00,
04/03/2017,62480416,M0925.70554US00,Processed,040317INTEFSW20061200,Payment,$130.00,
