Date Posted,Transaction Reference #,Attorney Docket #, Status,Transaction ID,Type,Total Payment (+) / Refund (-),Customer Name
04/26/2017,62489637,A0848.70198US02,Processed,042617INTEFSW14204300,Payment,"$1,060.00",
04/26/2017,13746544,A0928.70017US00,Processed,042617INTEFSW12304300,Payment,"$2,000.00",
04/26/2017,15496750,,Processed,042617INTEFSW16392100,Payment,"$1,600.00",
04/26/2017,62490128,M1378.70078US00,Processed,042617INTEFSW12310700,Payment,"$2,260.00",
04/25/2017,201704200018991686,,"APPROVED BY USPTO, PENDING SUBMISSION TO TREASURY FOR PROCESSING",30195243,Refund,"($3,376.00)",
04/26/2017,14351717,C1233.70045US01,Processed,042617INTEFSW12364700,Payment,$480.00,
04/26/2017,14682192,L0632.70116US01,Processed,042617INTEFSW12424900,Payment,"$1,200.00",
04/26/2017,62489611,,Processed,042617INTEFSW13465000,Payment,$130.00,
04/21/2017,87418706,B1348.20007US00,Processed,042117INTTEAS14090000,Payment,$275.00,
04/21/2017,87418771,R0708.20003US00,Processed,042117INTTEAS14345300,Payment,$275.00,
04/21/2017,87418916,A1156.20114US00,Processed,042117INTTEAS15460600,Payment,$275.00,
04/21/2017,201703020018759236,,"APPROVED BY USPTO, PENDING SUBMISSION TO TREASURY FOR PROCESSING",30195150,Refund,"($1,200.00)",
04/21/2017,201703220018853036,,"APPROVED BY USPTO, PENDING SUBMISSION TO TREASURY FOR PROCESSING",30195152,Refund,($600.00),
